,Provider,Client,Start,End,Hours,Type,Status
95,Provider6,Provider17,1518030000,1518031800,1800,Administrative,Confirmed (Appt has happened)
96,Provider6,Provider1,1518033600,1518037200,3600,Administrative,Confirmed (Appt has happened)
97,Provider6,Provider17,1518039000,1518044400,5400,Ed. Therapy,Confirmed (Appt has happened)
98,Provider6,Provider1,1518461100,1518463800,2700,Ed. Therapy,Confirmed (Appt has happened)
99,Provider6,Provider17,1518463800,1518465600,1800,Administrative,Confirmed (Appt has happened)
100,Provider6,Provider17,1518471000,1518476400,5400,Ed. Therapy,Confirmed (Appt has happened)
101,Provider6,Provider1,1518631200,1518634800,3600,Ed. Therapy,Confirmed (Appt has happened)
102,Provider6,Provider17,1518643800,1518649200,5400,Ed. Therapy,Confirmed (Appt has happened)
103,Provider6,Provider18,1518649200,1518653700,4500,Ed. Therapy,Confirmed (Appt has happened)
104,Provider6,Provider1,1519065900,1519068600,2700,Ed. Therapy,Cancelled (No charge not rescheduled)
105,Provider6,Provider17,1519075800,1519081200,5400,Ed. Therapy,Cancelled (No charge not rescheduled)
106,Provider6,Provider1,1519236000,1519239600,3600,Ed. Therapy,Scheduled
107,Provider6,Provider1,1519241400,1519246800,5400,Administrative,Cancelled (No Charge & rescheduled)
108,Provider6,Provider18,1519246800,1519250400,3600,Ed. Therapy,Scheduled
109,Provider6,Provider17,1519248600,1519254000,5400,Ed. Therapy,Cancelled (No charge not rescheduled)
110,Provider6,Provider18,1519254000,1519258500,4500,Ed. Therapy,Cancelled (No charge not rescheduled)
111,Provider6,Provider1,1519668000,1519673400,5400,Ed. Therapy,Scheduled
112,Provider6,Provider17,1519673400,1519675200,1800,Administrative,Scheduled
113,Provider6,Provider17,1519680600,1519686000,5400,Ed. Therapy,Scheduled
114,Provider6,Provider1,1519840800,1519844400,3600,Ed. Therapy,Cancelled (No charge not rescheduled)
116,Provider6,Provider17,1519853400,1519858800,5400,Ed. Therapy,Scheduled
117,Provider7,Provider19,1517356800,1517360400,3600,Ed. Therapy,Confirmed (Appt has happened)
118,Provider7,Provider20,1517535000,1517538600,3600,Ed. Therapy,Confirmed (Appt has happened)
119,Provider7,Provider21,1517610600,1517614200,3600,Ed. Therapy,Confirmed (Appt has happened)
120,Provider7,Provider22,1517963400,1517967000,3600,,Confirmed (Appt has happened)
121,Provider7,Provider23,1518112800,1518116400,3600,,Scheduled
122,Provider7,Ari Cohen,1518139800,1518143400,3600,Ed. Therapy,Confirmed (Appt has happened)
123,Provider7,Riley Fisher,1518215400,1518219000,3600,,Confirmed (Appt has happened)
124,Provider7,Provider24,1518715800,1518726600,10800,,
125,Provider7,Jovan Townsley,1518741000,1518744600,3600,,
126,Provider7,Ari Cohen,1518744600,1518748200,3600,Ed. Therapy,Confirmed (Appt has happened)
127,Provider7,Riley Fisher,1518822000,1518823800,1800,,
128,Provider7,Riley Fisher,1518823800,1518827400,3600,,
129,Provider7,Provider25,1519086600,1519090200,3600,,
130,Provider7,Ari Cohen,1519349400,1519353000,3600,Ed. Therapy,Confirmed (Appt has happened)
131,Provider7,Charles Chadwick,1519687800,1519691400,3600,,
132,Provider7,Riley Fisher,1519695000,1519698600,3600,,
133,Provider8,Provider26,1517248800,1517252400,3600,,Confirmed (Appt has happened)
134,Provider8,Provider26,1517252400,1517256000,3600,,Confirmed (Appt has happened)
135,Provider8,Provider27,1517421600,1517425200,3600,,
136,Provider8,Provider28,1517421600,1517425200,3600,,Cancelled (No charge not rescheduled)
137,Provider8,Provider28,1517425200,1517428800,3600,,Cancelled (No charge not rescheduled)
138,Provider8,Provider27,1517425200,1517428800,3600,,
139,Provider8,Provider29,1517853600,1517857200,3600,,Confirmed (Appt has happened)
140,Provider8,Provider29,1517857200,1517860800,3600,,Confirmed (Appt has happened)
141,Provider8,Provider30,1518026400,1518030000,3600,,Confirmed (Appt has happened)
142,Provider8,Provider30,1518030000,1518033600,3600,,Confirmed (Appt has happened)
143,Provider8,Provider30,1518033600,1518035400,1800,,Confirmed (Appt has happened)
144,Provider8,Provider31,1518631200,1518634800,3600,,
145,Provider8,Provider31,1518634800,1518638400,3600,,
146,Provider8,Provider31,1518638400,1518640200,1800,,
148,Provider9,Provider33,1517272200,1517275800,3600,,Confirmed (Appt has happened)
149,Provider9,Joaquin Darbro,1518458400,1518462000,3600,Ed. Therapy,Confirmed (Appt has happened)
150,Provider10,Provider31,1517333400,1517344200,10800,,Confirmed (Appt has happened)
151,Provider10,Provider29,1517355000,1517358600,3600,,
152,Provider10,Provider31,1517506200,1517517000,10800,,
153,Provider10,Provider31,1518111000,1518118200,7200,,
154,Provider10,Provider34,1518647400,1518656400,9000,,Confirmed (Appt has happened)
156,Provider10,Provider35,1520015400,1520026200,10800,,
157,Provider10,Provider35,1520096400,1520110800,14400,,
158,Provider11,Provider36,1517243400,1517247000,3600,Ed. Therapy,Cancelled (No charge not rescheduled)
159,Provider11,Provider37,1517263200,1517266800,3600,Tutoring,Confirmed (Appt has happened)
160,Provider11,Provider38,1517268600,1517272200,3600,Ed. Therapy,Cancelled (No charge not rescheduled)
161,Provider11,Joaquin Darbro,1517274000,1517275800,1800,Ed. Therapy,Confirmed (Appt has happened)
162,Provider11,Provider13,1517335200,1517342400,7200,Ed. Therapy,Cancelled (No charge not rescheduled)
163,Provider11,Provider38,1517349600,1517355000,5400,Ed. Therapy,Cancelled (No charge not rescheduled)
164,Provider11,Provider39,1517356800,1517360400,3600,Ed. Therapy,Cancelled (No charge not rescheduled)
165,Provider11,Provider40,1517360400,1517364000,3600,Ed. Therapy,Cancelled (No charge not rescheduled)
166,Provider11,Provider41,1517443200,1517446800,3600,Ed. Therapy,Cancelled (No charge not rescheduled)
167,Provider11,Provider37,1517446800,1517450400,3600,Tutoring,Cancelled (No charge not rescheduled)
168,Provider11,Provider36,1517504100,1517509500,5400,Ed. Therapy,Cancelled (No charge not rescheduled)
169,Provider11,Provider38,1517522400,1517527800,5400,Ed. Therapy,Cancelled (No charge not rescheduled)
170,Provider11,Provider42,1517531400,1517535000,3600,Ed. Therapy,Cancelled (No charge not rescheduled)
171,Provider11,Provider43,1517535000,1517538600,3600,Ed. Therapy,Cancelled (No charge not rescheduled)
172,Provider11,Provider1,1517594400,1517599800,5400,Ed. Therapy,Confirmed (Appt has happened)
173,Provider11,Provider36,1517601600,1517603400,1800,School Meeting,Confirmed (Appt has happened)
174,Provider11,Provider43,1517616000,1517619600,3600,Ed. Therapy,Confirmed (Appt has happened)
175,Provider11,Provider36,1517848200,1517851800,3600,Ed. Therapy,Cancelled (No charge not rescheduled)
176,Provider11,Joaquin Darbro,1517853600,1517857200,3600,Ed. Therapy,Confirmed (Appt has happened)
177,Provider11,Provider38,1517873400,1517877000,3600,Ed. Therapy,Cancelled (No charge not rescheduled)
178,Provider11,Provider13,1517940000,1517947200,7200,Ed. Therapy,Confirmed (Appt has happened)
179,Provider11,Provider38,1517954400,1517959800,5400,Ed. Therapy,Confirmed (Appt has happened)
180,Provider11,Provider39,1517961600,1517965200,3600,Ed. Therapy,Confirmed (Appt has happened)
181,Provider11,Provider40,1517965200,1517968800,3600,Ed. Therapy,Cancelled (No charge not rescheduled)
182,Provider11,Provider37,1517965200,1517968800,3600,Tutoring,Confirmed (Appt has happened)
183,Provider11,Provider41,1518046200,1518049800,3600,Ed. Therapy,Confirmed (Appt has happened)
184,Provider11,Provider36,1518108900,1518114300,5400,Ed. Therapy,Confirmed (Appt has happened)
185,Provider11,Provider38,1518127200,1518132600,5400,Ed. Therapy,Confirmed (Appt has happened)
186,Provider11,Provider42,1518136200,1518139800,3600,Ed. Therapy,Confirmed (Appt has happened)
187,Provider11,Provider43,1518139800,1518143400,3600,Ed. Therapy,Confirmed (Appt has happened)
188,Provider11,Provider1,1518199200,1518204600,5400,Ed. Therapy,Confirmed (Appt has happened)
189,Provider11,Provider44,1518219000,1518222600,3600,Ed. Therapy,Confirmed (Appt has happened)
190,Provider11,Provider36,1518453000,1518456600,3600,Ed. Therapy,Confirmed (Appt has happened)
191,Provider11,Provider38,1518478200,1518481800,3600,Ed. Therapy,Confirmed (Appt has happened)
192,Provider11,Provider44,1518487200,1518490800,3600,Ed. Therapy,Confirmed (Appt has happened)
193,Provider11,Provider13,1518544800,1518552000,7200,Ed. Therapy,Confirmed (Appt has happened)
194,Provider11,Provider38,1518559200,1518564600,5400,Ed. Therapy,Confirmed (Appt has happened)
195,Provider11,Provider41,1518651000,1518654600,3600,Ed. Therapy,Confirmed (Appt has happened)
196,Provider11,Provider39,1518656400,1518660000,3600,Ed. Therapy,Confirmed (Appt has happened)
197,Provider11,Provider37,1518660000,1518663600,3600,Tutoring,Confirmed (Appt has happened)
198,Provider11,Provider36,1518713700,1518719100,5400,Ed. Therapy,Confirmed (Appt has happened)
199,Provider11,Provider38,1518732000,1518737400,5400,Ed. Therapy,Confirmed (Appt has happened)
200,Provider11,Provider42,1518741000,1518744600,3600,Ed. Therapy,Confirmed (Appt has happened)
201,Provider11,Provider43,1518744600,1518748200,3600,Ed. Therapy,Confirmed (Appt has happened)
202,Provider11,Provider1,1518804000,1518809400,5400,Ed. Therapy,Confirmed (Appt has happened)
203,Provider11,Provider44,1518823800,1518827400,3600,Ed. Therapy,Confirmed (Appt has happened)
204,Provider11,Provider36,1519057800,1519061400,3600,Ed. Therapy,Cancelled (No charge not rescheduled)
205,Provider11,Joaquin Darbro,1519063200,1519066800,3600,Ed. Therapy,Confirmed (Appt has happened)
206,Provider11,Provider38,1519083000,1519086600,3600,Ed. Therapy,Cancelled (No charge not rescheduled)
207,Provider11,Provider44,1519092000,1519095600,3600,Ed. Therapy,Scheduled
208,Provider11,Provider13,1519149600,1519156800,7200,Ed. Therapy,Scheduled
209,Provider11,Provider38,1519164000,1519169400,5400,Ed. Therapy,Scheduled
210,Provider11,Provider39,1519171200,1519174800,3600,Ed. Therapy,Scheduled
211,Provider11,Provider1,1519241400,1519246800,5400,Meeting,Scheduled
212,Provider11,Provider41,1519257600,1519261200,3600,Ed. Therapy,Scheduled
213,Provider11,Provider39,1519261200,1519264800,3600,Ed. Therapy,Scheduled
214,Provider11,Provider37,1519264800,1519268400,3600,Tutoring,Scheduled
215,Provider11,Provider36,1519318500,1519323900,5400,Ed. Therapy,Scheduled
216,Provider11,Provider38,1519336800,1519342200,5400,Ed. Therapy,Scheduled
217,Provider11,Provider42,1519345800,1519349400,3600,Ed. Therapy,Scheduled
218,Provider11,Provider43,1519349400,1519353000,3600,Ed. Therapy,Scheduled
219,Provider11,Provider1,1519408800,1519414200,5400,Ed. Therapy,Scheduled
220,Provider11,Provider45,1519416000,1519428600,12600,Ed. Therapy,Scheduled
221,Provider11,Provider44,1519428600,1519432200,3600,Ed. Therapy,Scheduled
222,Provider11,Provider45,1519682400,1519686000,3600,Ed. Therapy,Scheduled
223,Provider11,Provider38,1519687800,1519691400,3600,Ed. Therapy,Confirmed (Appt has happened)
224,Provider11,Provider45,1519693200,1519696800,3600,Ed. Therapy,Scheduled
225,Provider11,Provider41,1519862400,1519866000,3600,Ed. Therapy,Scheduled
226,Provider11,Provider42,1519950600,1519954200,3600,Ed. Therapy,Scheduled
227,Provider11,Provider43,1519954200,1519957800,3600,Ed. Therapy,Scheduled
228,Provider11,Provider1,1520013600,1520019000,5400,Ed. Therapy,Scheduled
229,Provider11,Provider42,1520123400,1520127000,3600,Ed. Therapy,Scheduled
230,Provider11,Provider43,1520127000,1520130600,3600,Ed. Therapy,Scheduled
231,Provider12,Provider46,1517360400,1517364000,3600,Ed. Therapy,
232,Provider12,Provider47,1517953500,1517957100,3600,Ed. Therapy,Confirmed (Appt has happened)
233,Provider12,Provider34,1517961600,1517965200,3600,Ed. Therapy,Confirmed (Appt has happened)
234,Provider12,Provider48,1518037200,1518040800,3600,Ed. Therapy,Confirmed (Appt has happened)
235,Provider12,Provider34,1518566400,1518570000,3600,Ed. Therapy,Confirmed (Appt has happened)
236,Provider12,Provider34,1519171200,1519174800,3600,Ed. Therapy,Scheduled
237,Provider13,Provider49,1517351400,1517355000,3600,Intake,Confirmed (Appt has happened)
238,Provider13,Provider50,1517356800,1517360400,3600,Ed. Therapy,Confirmed (Appt has happened)
239,Provider13,Provider51,1517362200,1517365800,3600,Assessment,Confirmed (Appt has happened)
240,Provider13,Zachary Shaw,1517432400,1517436000,3600,,Cancelled (No Charge & rescheduled)
241,Provider13,Provider50,1517441400,1517445000,3600,Ed. Therapy,Confirmed (Appt has happened)
242,Provider13,Provider52,1517445000,1517448600,3600,Ed. Therapy,Confirmed (Appt has happened)
243,Provider13,Provider53,1517518800,1517522400,3600,Ed. Therapy,Confirmed (Appt has happened)
244,Provider13,Provider54,1517527800,1517531400,3600,Ed. Therapy,Confirmed (Appt has happened)
245,Provider13,Provider55,1517531400,1517535000,3600,Ed. Therapy,Confirmed (Appt has happened)
246,Provider13,Provider51,1517535000,1517538600,3600,Ed. Therapy,Confirmed (Appt has happened)
247,Provider13,Provider50,1517961600,1517965200,3600,Ed. Therapy,Confirmed (Appt has happened)
248,Provider13,Provider51,1517967000,1517970600,3600,,Confirmed (Appt has happened)
249,Provider13,Provider50,1518046200,1518049800,3600,Ed. Therapy,Confirmed (Appt has happened)
250,Provider13,Provider52,1518049800,1518053400,3600,Ed. Therapy,Confirmed (Appt has happened)
251,Provider13,Provider56,1518053400,1518057000,3600,Intake,Confirmed (Appt has happened)
252,Provider13,Provider53,1518116400,1518120000,3600,Ed. Therapy,Confirmed (Appt has happened)
253,Provider13,Provider54,1518132600,1518136200,3600,Ed. Therapy,Confirmed (Appt has happened)
254,Provider13,Provider55,1518136200,1518139800,3600,Ed. Therapy,Confirmed (Appt has happened)
255,Provider13,Provider51,1518139800,1518143400,3600,Ed. Therapy,Confirmed (Appt has happened)
256,Provider13,Provider50,1518568200,1518571800,3600,Ed. Therapy,Confirmed (Appt has happened)
257,Provider13,Provider51,1518571800,1518575400,3600,Ed. Therapy,Confirmed (Appt has happened)
258,Provider13,Provider52,1518634800,1518636600,1800,Parent Meeting,Confirmed (Appt has happened)
259,Provider13,Provider57,1518647400,1518651000,3600,,Cancelled (No charge not rescheduled)
260,Provider13,Provider50,1518651000,1518654600,3600,Ed. Therapy,Confirmed (Appt has happened)
261,Provider13,Provider52,1518654600,1518658200,3600,Ed. Therapy,Confirmed (Appt has happened)
262,Provider13,Provider53,1518732000,1518735600,3600,Ed. Therapy,Confirmed (Appt has happened)
263,Provider13,Provider54,1518737400,1518741000,3600,Ed. Therapy,Confirmed (Appt has happened)
264,Provider13,Provider55,1518741000,1518744600,3600,Ed. Therapy,Confirmed (Appt has happened)
265,Provider13,Provider50,1519173000,1519176600,3600,Ed. Therapy,Scheduled
266,Provider13,Provider51,1519176600,1519180200,3600,Ed. Therapy,Scheduled
267,Provider13,Provider50,1519255800,1519259400,3600,Ed. Therapy,Scheduled
268,Provider13,Provider52,1519259400,1519263000,3600,Ed. Therapy,Scheduled
269,Provider13,Provider53,1519326000,1519329600,3600,Ed. Therapy,Scheduled
270,Provider13,Provider54,1519342200,1519345800,3600,Ed. Therapy,Confirmed (Appt has happened)
271,Provider13,Provider55,1519345800,1519349400,3600,Ed. Therapy,Confirmed (Appt has happened)
272,Provider13,Provider51,1519349400,1519353000,3600,Ed. Therapy,Scheduled
273,Provider13,Provider50,1519776000,1519779600,3600,Ed. Therapy,Confirmed (Appt has happened)
274,Provider13,Provider51,1519781400,1519785000,3600,,Confirmed (Appt has happened)
275,Provider13,Provider50,1519860600,1519864200,3600,Ed. Therapy,Scheduled
276,Provider13,Provider52,1519864200,1519867800,3600,Ed. Therapy,Scheduled
277,Provider14,Provider2,1517263200,1517270400,7200,Tutoring,Confirmed (Appt has happened)
278,Provider14,Provider7,1517270400,1517275800,5400,Tutoring,Confirmed (Appt has happened)
279,Provider14,Provider1,1517338800,1517340600,1800,Tutoring,Confirmed (Appt has happened)
280,Provider14,Provider1,1517508000,1517513400,5400,Tutoring,Confirmed (Appt has happened)
281,Provider14,Provider7,1517535000,1517538600,3600,Tutoring,Confirmed (Appt has happened)
282,Provider14,Provider2,1517868000,1517875200,7200,Tutoring,Confirmed (Appt has happened)
283,Provider14,Provider1,1517943600,1517945400,1800,Tutoring,Confirmed (Appt has happened)
284,Provider14,Provider1,1517945400,1517946300,900,Administrative,Confirmed (Appt has happened)
285,Provider14,Provider1,1518033600,1518037200,3600,Administrative,Confirmed (Appt has happened)
286,Provider14,Provider1,1518112800,1518118200,5400,Tutoring,Confirmed (Appt has happened)
287,Provider14,Provider2,1518472800,1518480000,7200,Tutoring,Confirmed (Appt has happened)
288,Provider14,Provider7,1518480000,1518485400,5400,Tutoring,Confirmed (Appt has happened)
289,Provider14,Provider1,1518548400,1518550200,1800,Tutoring,Confirmed (Appt has happened)
290,Provider14,Provider1,1518717600,1518723000,5400,Tutoring,Confirmed (Appt has happened)
291,Provider14,Provider7,1518742800,1518746400,3600,Tutoring,Confirmed (Appt has happened)
292,Provider14,Provider2,1519077600,1519084800,7200,Tutoring,Confirmed (Appt has happened)
293,Provider14,Provider1,1519153200,1519155000,1800,Tutoring,Confirmed (Appt has happened)
294,Provider14,Provider1,1519243200,1519245900,2700,Administrative,Confirmed (Appt has happened)
295,Provider14,Provider1,1519322400,1519327800,5400,Tutoring,Confirmed (Appt has happened)
296,Provider14,Provider7,1519349400,1519353000,3600,Tutoring,Confirmed (Appt has happened)
297,Provider14,Provider7,1519689600,1519695000,5400,Tutoring,Confirmed (Appt has happened)
298,Provider14,Provider7,1519954200,1519957800,3600,Tutoring,Confirmed (Appt has happened)
299,Provider15,Provider15,1517355000,1517358600,3600,Ed. Therapy,Confirmed (Appt has happened)
300,Provider15,Provider58,1517423400,1517425200,1800,,
301,Provider15,Provider59,1517527800,1517531400,3600,Ed. Therapy,Confirmed (Appt has happened)
302,Provider15,Provider58,1517531400,1517535000,3600,Ed. Therapy,Confirmed (Appt has happened)
303,Provider15,Provider60,1517617800,1517621400,3600,Ed. Therapy,Cancelled (No charge not rescheduled)
304,Provider15,Provider15,1517959800,1517963400,3600,Ed. Therapy,Confirmed (Appt has happened)
305,Provider15,Provider61,1518046200,1518049800,3600,Ed. Therapy,Confirmed (Appt has happened)
306,Provider15,Provider59,1518132600,1518136200,3600,Ed. Therapy,Confirmed (Appt has happened)
307,Provider15,Provider58,1518136200,1518139800,3600,Ed. Therapy,Confirmed (Appt has happened)
308,Provider16,Provider19,1517356800,1517360400,3600,Ed. Therapy,Confirmed (Appt has happened)
309,Provider17,Provider62,1517527800,1517531400,3600,,Confirmed (Appt has happened)
310,Provider17,Provider63,1518042600,1518046200,3600,,Confirmed (Appt has happened)
311,Provider17,Provider64,1518735600,1518739200,3600,,Confirmed (Appt has happened)
312,Provider18,Provider65,1517248800,1517249700,900,Phone Call,Confirmed (Appt has happened)
313,Provider18,Provider66,1517259900,1517263500,3600,Ed. Therapy,Confirmed (Appt has happened)
314,Provider18,Provider67,1517263500,1517266800,3300,Ed. Therapy,Confirmed (Appt has happened)
